@relation 'DS - 2011-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-do-not-check-capabilities-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-do-not-check-capabilities-weka.filters.unsupervised.attribute.Remove-R41,43,45,49,51,53-55,59-60,62,65,75-76,81,85-86-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C29-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C30-Llast-weka.filters.unsupervised.attribute.Remove-R29-69-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute '\%NoCar&LowStoreAccess' numeric
@attribute GroceryStore/1000pop numeric
@attribute SuperCenter&ClubStore/1000pop numeric
@attribute FastFoodRestaurant/1000pop numeric
@attribute FullServiceRestaurant/1000pop numeric
@attribute Fruit&Veg-Lbs/Household numeric
@attribute SweetSnacks-Lbs/Household numeric
@attribute Soda-Gals/Household numeric
@attribute Meat&Poultry-Lbs/Household numeric
@attribute SolidFats-Lbs/Household numeric
@attribute PreparedFood-Lbs/Household numeric
@attribute 'FoodInsecurity(-1,0,1)' numeric
@attribute DiabetesAdultRate numeric
@attribute ObesityAdultRate numeric
@attribute '\%AdultPhysicalActivity' numeric
@attribute MedianHouseHoldIncome numeric
@attribute PovertyRate numeric
@attribute '\%WhitePop' numeric
@attribute '\%BlackPop' numeric
@attribute '\%HispanicPop' numeric
@attribute '\%AsianPop' numeric
@attribute '\%LowIncome&LowStoreAccess' numeric
@attribute FastFoodExpendituresPerCapita numeric
@attribute RestaurantExpendituresPerCapita numeric
@attribute '\%LocalFarmsSales' numeric
@attribute '\%HighschoolersPhysicalActivity' numeric
@attribute Recreation&FitnessFacilities numeric
@attribute STATE_NUM numeric

@data
0.242623,0.305566,0.782863,0.436367,0.353574,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.743802,0.784753,0.47907,0.272589,0.488636,0.671971,0.623737,0.047059,0.137931,0.20052,0.324212,0.135632,0.025641,0.590674,0.108957,2
0.783607,0.318196,0,0.473337,0.12273,0.011494,0,0.459459,0.558824,0,0,1,0.636364,0.825112,0.47907,0.254289,0.349432,0.610771,0.676768,0.180392,0.068966,0.325249,0.324212,0.135632,0.106838,0.590674,0,2
0.045902,0.197462,0.361357,0.486765,0.522254,0.011494,0,0.459459,0.558824,0,0,1,0.677686,0.41704,0.47907,0.233024,0.508523,0.960832,0.017677,0.05098,0.103448,0.033348,0.324212,0.135632,0.230769,0.590674,0.301756,2
0.006557,0.139882,0.430056,0.429485,0.280557,0.011494,0,0.459459,0.558824,0,0,1,0.347107,0.479821,0.47907,0.484815,0.332386,0.74541,0.040404,0.568627,0.689655,0.006929,0.324212,0.135632,0.166667,0.590674,0.229441,2
0.190164,0.161024,0.412545,0.536554,0.335381,0.011494,0,0.459459,0.558824,0,0,1,0.53719,0.488789,0.47907,0.249022,0.463068,0.954712,0.022727,0.05098,0.137931,0.209615,0.324212,0.135632,0.145299,0.590674,0.172251,2
0.22623,0.394651,0,0.352241,0.266382,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.710744,0.668161,0.47907,0.17215,0.610795,0.511628,0.709596,0.454902,0.034483,0.159809,0.324212,0.135632,0.358974,0.590674,0.175903,2
0.02623,0.216365,0.554329,0.514971,0.784457,0.011494,0,0.459459,0.558824,0,0,1,0.603306,0.367713,0.47907,0.216891,0.397727,0.795594,0.010101,0.564706,0.137931,0.083586,0.324212,0.135632,0.149573,0.590674,0.07715,2
0.222951,0.199358,0.638448,0.682084,0.211457,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.53719,0.627803,0.47907,0.227923,0.494318,0.657283,0.558081,0.156863,0.275862,0.126895,0.324212,0.135632,0.128205,0.590674,0.533145,2
0.059016,0.293851,0,0.437122,0.198345,0.333333,0.342857,0.594595,0.632353,0.25,0.388889,1,0.694215,0.605381,0.47907,0.191548,1,0.960832,0.015152,0.054902,0.068966,0.095712,0.324212,0.135632,0.055556,0.590674,0.130975,2
0.134426,0.466893,0.598094,0.41672,0.450207,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.68595,0.497758,0.47907,0.26374,0.727273,0.955936,0.027778,0.066667,0.034483,0.130793,0.324212,0.135632,0.042735,0.590674,0.083241,2
